IPv4 Address,#VALUE!,Device,DNS Name,MAC Address,Function,Operating System,Vendor and Model,DHCP Device Class,NIC Vendor,NIC Vendor Value,Network Function,OS Fingerprint,Windows Version
10.1.3.82,010.001.003.082,SCSPA\\W-NCTDC-CONS,W-NCTDC-CONS.scspa.local,484d7ef212cf,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.1.3.146,010.001.003.146,SCSPA\\M-C7000-CTRL,M-C7000-CTRL.scspa.local,3c970e74f3c7,"[Information Technology, Networking, Wireless Access Point]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Wistron],,"wistron infocomm(kunshan)co.,ltd.","WISTRON INFOCOMM(KUNSHAN)CO.,LTD.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.3.158,010.001.003.158,SCSPA\\V-HQB-VISUALSVN,v-hqb-visualsvn.scspa.local,005056aa6a97,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.1.10.5,010.001.010.005,SCSPA\\V-NCT-GVLRC,V-NCT-GVLRC.scspa.local,5056805093,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.10.12,010.001.010.012,SCSPA\\V-HQ2-BSP,V-HQ2-BSP.scspa.local,005056a071b7,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.1.10.26,010.001.010.026,SCSPA\\V-NCTDA-1,V-NCTDA-1.scspa.local,5.06E+07,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.10.28,010.001.010.028,SCSPA\\V-NCTDA-2,V-NCTDA-2.scspa.local,00505680176f,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.10.250,010.001.010.250,SCSPA\\V-OPER-1,v-oper-1.scspa.local,005056804d7d,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.10.251,010.001.010.251,v-oper-2.scspa.local,v-oper-2.scspa.local,5056806348,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.1.20.100,010.001.020.100,SCSPA\\TWEDIUAT,TWEDIUAT.scspa.local,00505681220e,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]","[VMware, VMware Virtual Machine]",,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.1.32.1,010.001.032.001,SCSPA\\V-SCIP-TECH,V-SCIP-Tech.scspa.local,0050569de7e3,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[VMware],,"vmware, inc.","VMWARE, INC.",Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.3.1,010.003.003.001,SCSPA\\W-CST103-CONS,W-CST103-CONS.scspa.local,484d7ef20d83,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise LTSB,Windows 10 64-bit Enterprise LTSB
10.3.3.10,010.003.003.010,SCSPA\\W-CST115-AC,W-CST115-AC.scspa.local,1866da0256c4,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.3,010.003.010.003,SCSPA\\W-CST115-SPR3,W-CST115-SPR3.scspa.local,6c2b59f0f6b1,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.5,010.003.010.005,SCSPA\\W-WWT419-LIN,W-WWT419-LIN.scspa.local,64006a651734,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.3.10.6,010.003.010.006,SCSPA\\W-CST115-SPR1,W-CST115-SPR1.scspa.local,54bf64a18951,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.7,010.003.010.007,SCSPA\\L-HQ2-DBO,,c8f75062f6f4,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.12,010.003.010.012,SCSPA\\W-CST115-SJ,W-CST115-SJ.scspa.local,14b31f1ba94c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.15,010.003.010.015,SCSPA\\W-CST148-010,W-CST148-010.scspa.local,18037350b029,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.10.19,010.003.010.019,SCSPA\\W-CSTGS-001,W-CSTGS-001.scspa.local,180373197bec,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.10.24,010.003.010.024,SCSPA\\W-CST145-MTV1,W-CST145-MTV1.scspa.local,484d7eda6d4c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.25,010.003.010.025,SCSPA\\W-CST115-BE,W-CST115-BE.scspa.local,14b31f0eaa7e,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.27,010.003.010.027,SCSPA\\W-CST115-TE,W-CST115-TE.scspa.local,14b31f1c5172,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.31,010.003.010.031,SCSPA\\W-CST145-014,W-CST145-014.scspa.local,1803734c9839,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.10.32,010.003.010.032,SCSPA\\W-CST115-CONF,W-CST115-CONF.scspa.local,14b31f04ba16,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.33,010.003.010.033,SCSPA\\W-CST148-MTV1,W-CST148-MTV1.scspa.local,484d7eda8781,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.35,010.003.010.035,SCSPA\\W-CST115-OFFICE,W-CST115-OFFICE.scspa.local,14b31f10b782,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.47,010.003.010.047,SCSPA\\W-CST145-015,W-CST145-015.scspa.local,18037314baa0,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.10.48,010.003.010.048,SCSPA\\W-CST-BR1,W-CST-BR1.scspa.local,38c9860925c8,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Apple],,"apple, inc.",,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.3.10.50,010.003.010.050,SCSPA\\W-CST115-SSM,W-CST115-SSM.scspa.local,54bf6493e321,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.10.57,010.003.010.057,SCSPA\\W-CST115-BMW10,W-CST115-BMW10.scspa.local,d89ef37da670,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.2,010.003.011.002,SCSPA\\CST148-FCMNT,CST148-FCMNT.scspa.local,6c2b59db6d42,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.3,010.003.011.003,SCSPA\\W-CST148-MSS,W-CST148-MSS.scspa.local,989096b2d123,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.3.11.4,010.003.011.004,SCSPA\\CST148-BR1,CST148-BR1.scspa.local,e454e8680bdb,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.5,010.003.011.005,SCSPA\\W-CST105-HLE,W-CST105-HLE.scspa.local,989096b53313,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.3.11.6,010.003.011.006,SCSPA\\W-CST148-CWA,W-CST148-CWA.scspa.local,e454e876be4c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.7,010.003.011.007,SCSPA\\CST145-CCO,CST145-CCO.scspa.local,e454e867a922,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.8,010.003.011.008,SCSPA\\W-CST115-CO,W-CST115-CO.scspa.local,d89ef37be029,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.9,010.003.011.009,SCSPA\\W-CST115-020,W-CST115-020.scspa.local,18037319580a,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.11.10,010.003.011.010,SCSPA\\W-CST148-009B,W-CST148-009B.scspa.local,18037314b5ec,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.3.11.11,010.003.011.011,SCSPA\\W-CST148-SLN,W-CST148-SLN.scspa.local,1803735090eb,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.3.11.12,010.003.011.012,W-CST145-001.scspa.local,W-CST145-001.scspa.local,18037314b9c0,"[Information Technology, Computer]",[Windows],[Dell],,,,Windows Machine,Windows Machine,
10.3.11.13,010.003.011.013,SCSPA\\W-CST115-SS,W-CST115-SS.scspa.local,14b31f0d6fee,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.14,010.003.011.014,SCSPA\\W-CST145-019,W-CST145-019.scspa.local,18037350b046,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.3.11.15,010.003.011.015,SCSPA\\W-CST115-MJ,W-CST115-MJ.scspa.local,14b31f0cf955,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,
10.4.3.22,010.004.003.022,SCSPA\\W-RADIO-PRO,w-radio-pro.scspa.local,64006a5e62a3,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.4.3.81,010.004.003.081,SCSPA\\W-NCT5104-AC,W-NCT5104-AC.scspa.local,1866da0277d3,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.3,010.004.010.003,SCSPA\\W-NCT584-MME,W-NCT584-MME.scspa.local,64006a6acbb1,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.6,010.004.010.006,SCSPA\\W-NCT580-001,W-NCT580-001.scspa.local,180373197bc7,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.10.9,010.004.010.009,SCSPA\\W-CST160-AC,W-CST160-AC.scspa.local,0024e80fa291,"[Information Technology, Computer]","[Windows, Windows XP]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows XP  Service Pack 3,Windows XP  Service Pack 3
10.4.10.11,010.004.010.011,SCSPA\\W-NCT584-004,w-nct584-004.scspa.local,1.80374E+11,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.10.12,010.004.010.012,SCSPA\\W-NCT512-SFLOOR,W-NCT512-SFLOOR.scspa.local,1866da2a4e92,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.14,010.004.010.014,SCSPA\\NCT584-BR1,NCT584-BR1.scspa.local,6c2b59db7960,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.17,010.004.010.017,SCSPA\\W-NCTGS-001,W-NCTGS-001.scspa.local,180373197ddd,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.10.18,010.004.010.018,SCSPA\\W-NCT511-ASI,W-NCT511-ASI.scspa.local,54bf648d7d25,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.22,010.004.010.022,SCSPA\\W-NCT584-203,w-nct584-203.scspa.local,1803734c9096,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.10.23,010.004.010.023,SCSPA\\W-NCT584-DK,W-NCT584-DK.scspa.local,1866da120f9a,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.25,010.004.010.025,SCSPA\\W-NCT512-LAB1,W-NCT512-LAB1.scspa.local,989096e2c176,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.4.10.26,010.004.010.026,SCSPA\\W-NCT512-LAB2,W-NCT512-LAB2.scspa.local,e454e85e3842,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.27,010.004.010.027,SCSPA\\W-NCT511-BR1,W-NCT511-BR1.scspa.local,38c986092637,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Apple],Windows,"apple, inc.","APPLE, INC.",Windows Machine,Windows Machine,Windows 7 64-bit Professional Service Pack 1
10.4.10.29,010.004.010.029,SCSPA\\W-NCT584-SC,W-NCT584-SC.scspa.local,54bf64764fa8,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.30,010.004.010.030,SCSPA\\W-NCT584R-MSS,W-NCT584R-MSS.scspa.local,54bf648f02fc,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.31,010.004.010.031,SCSPA\\W-NCT584-MHMNT,W-NCT584-MHMNT.scspa.local,54bf647b2b25,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.34,010.004.010.034,SCSPA\\K2-NCT555-001,K2-NCT555-001.scspa.local,54bef7270458,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Pegatron],,pegatron corporation,PEGATRON CORPORATION,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.35,010.004.010.035,SCSPA\\W-NCT584-MTV1,W-NCT584-MTV1.scspa.local,484d7eda8491,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.36,010.004.010.036,SCSPA\\W-NCT584-RBR,W-NCT584-RBR.scspa.local,6c2b59ee6e4c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.39,010.004.010.039,SCSPA\\W-NCT584-JWH,W-NCT584-JWH.scspa.local,6c2b59e3aafc,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.52,010.004.010.052,SCSPA\\W-NCT584-206,W-NCT584-206.scspa.local,1803734ca432,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.10.111,010.004.010.111,SCSPA\\W-NCT587-RH,W-NCT587-RH.scspa.local,1866da28164f,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.117,010.004.010.117,SCSPA\\W-NCT5104-001,W-NCT5104-001.scspa.local,14b31f04332c,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.10.170,010.004.010.170,SCSPA\\W-NCT584-FCMNT,W-NCT584-FCMNT.scspa.local,14b31f10a209,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.2,010.004.012.002,SCSPA\\W-NCT511-TPO,W-NCT511-TPO.scspa.local,6c2b59d40773,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.4,010.004.012.004,SCSPA\\W-NCT584-TDO,W-NCT584-TDO.scspa.local,e454e87ce9a9,"[Information Technology, Computer]",[Windows],[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows Machine,
10.4.12.5,010.004.012.005,SCSPA\\W-NCT584-DSE,W-NCT584-DSE.scspa.local,14b31f19d65b,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.6,010.004.012.006,SCSPA\\W-NCT511-EHA,W-NCT511-EHA.scspa.local,e454e87cb7a6,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.7,010.004.012.007,SCSPA\\W-NCT584-DPE,W-NCT584-DPE.scspa.local,a4bb6da7e2c7,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.8,010.004.012.008,SCSPA\\W-NCT555-BR1,W-NCT555-BR1.scspa.local,38c98611e25e,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Apple],Windows,"apple, inc.","APPLE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.4.12.9,010.004.012.009,SCSPA\\W-NCTGS-002,W-NCTGS-002.scspa.local,18037318eedf,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.12.10,010.004.012.010,SCSPA\\W-NCT584-001,w-nct584-001.scspa.local,18037350b099,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.12.11,010.004.012.011,SCSPA\\W-NCT511-RH,W-NCT511-RH.scspa.local,8cec4b82966a,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise LTSB,Windows 10 64-bit Enterprise LTSB
10.4.12.12,010.004.012.012,SCSPA\\W-NCT511-CONF,W-NCT511-CONF.scspa.local,0c4de9aa4642,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Apple],Windows,"apple, inc.","APPLE, INC.",Windows Machine,Windows 7 64-bit Professional Service Pack 1,Windows 7 64-bit Professional Service Pack 1
10.4.12.13,010.004.012.013,SCSPA\\W-NCT511-LP,W-NCT511-LP.scspa.local,d89ef3915f71,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise LTSB,Windows 10 64-bit Enterprise LTSB
10.4.12.14,010.004.012.014,SCSPA\\W-NCT584-009,W-NCT584-009.scspa.local,002170342d7c,"[Information Technology, Computer]","[Windows, Windows 7, Windows 7 Professional, Windows 7 Professional SP1]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 7 Professional Service Pack 1,Windows 7 Professional Service Pack 1
10.4.12.15,010.004.012.015,SCSPA\\K2-NCT511-001,K2-NCT511-001.scspa.local,54bef7270254,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Pegatron],Windows,pegatron corporation,PEGATRON CORPORATION,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.16,010.004.012.016,SCSPA\\K2-NCT584-002,K2-NCT584-002.scspa.local,54bef7345738,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Pegatron],Windows,pegatron corporation,PEGATRON CORPORATION,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
10.4.12.17,010.004.012.017,SCSPA\\W-NCT511-JCH,W-NCT511-JCH.scspa.local,e4b97aea11b2,"[Information Technology, Computer]","[Windows, Windows 10, Windows 10 Enterprise]",[Dell],Windows,dell inc.,DELL INC.,Windows Machine,Windows 10 64-bit Enterprise,Windows 10 64-bit Enterprise
